age,headshot_percentage,kills_per_death,kills_per_round,5_kill_rounds,rifle_kills,sniper_kills,smg_kills,pistol_kills,Scaling.Mode
21,0.278,1.45,0.77,30,3791,10580,550,3008,2
20,0.467,1.12,0.71,0,5469,569,327,1080,1
21,0.5,1.07,0.74,51,22023,3034,1960,5613,1
21,0.554,1.04,0.67,19,9683,701,500,2387,2
24,0.537,1.04,0.68,18,8639,259,607,2222,1
30,0.488,1.11,0.73,50,24448,4160,2720,6910,1
24,0.511,1.11,0.72,17,11209,101,909,2598,1
27,0.354,1.28,0.75,18,5220,7131,982,3423,1
27,0.571,0.96,0.69,15,8775,300,464,2209,1
19,0.53,1.01,0.7,16,7548,104,392,1613,3
31,0.391,1.05,0.66,10,8126,6032,854,3695,1
23,0.524,1.07,0.69,15,11236,326,865,2357,1
29,0.248,1.15,0.68,21,3839,10111,563,3592,1
23,0.295,1.13,0.7,29,2771,11847,415,2660,2
26,0.516,1.04,0.69,19,11504,4069,1551,3308,3
20,0.593,1.06,0.73,14,7792,101,568,1831,1
22,0.278,1.26,0.79,21,4786,9692,584,3283,1
32,0.455,0.97,0.65,25,16110,2654,3495,4753,1
24,0.293,1.09,0.72,47,6210,17827,1226,4710,1
29,0.366,1.08,0.7,42,20396,8929,2183,6728,1
24,0.521,1.08,0.71,24,11123,231,1151,2466,3
27,0.458,1.1,0.73,31,14963,2229,2071,4110,1
23,0.466,1.14,0.73,23,10797,3452,428,2795,1
24,0.396,0.99,0.66,27,14660,3489,2456,3602,2
21,0.562,1.14,0.74,19,6595,245,252,1465,1
25,0.403,1.05,0.67,14,5770,4686,840,2372,1
28,0.475,0.98,0.64,22,14991,755,2112,3954,2
20,0.429,1.07,0.73,25,14788,2122,969,3546,2
28,0.408,0.97,0.64,21,17974,350,1752,3940,1
32,0.457,1.02,0.71,22,6911,1359,876,2025,1
24,0.316,1.3,0.77,22,5037,8539,437,2848,2
26,0.575,1.02,0.67,39,19482,1192,1435,4947,3
25,0.489,1.13,0.73,29,15077,2663,1577,4113,1
27,0.474,1.07,0.74,36,18561,471,1792,4237,2
20,0.58,1.01,0.66,11,6892,350,607,1502,3
23,0.474,1.03,0.71,16,8315,292,519,1982,1
26,0.294,1.16,0.73,32,5382,20663,1967,5329,1
20,0.517,1.03,0.69,11,7553,268,314,1832,1
27,0.49,1.04,0.73,69,26945,2296,1304,6539,1
27,0.501,0.94,0.61,14,15200,1113,1613,4108,1
28,0.462,1.08,0.65,10,10120,87,705,2117,1
21,0.553,1.07,0.72,27,12450,161,615,2577,2
23,0.521,0.98,0.65,9,6426,477,707,1510,3
24,0.415,1.05,0.71,19,12825,494,1339,3047,3
26,0.561,0.97,0.64,34,21825,213,1830,5490,1
20,0.472,0.96,0.66,15,8927,1016,705,2050,1
25,0.48,0.95,0.63,14,12425,1436,1310,3236,3
20,0.291,1.25,0.78,16,2352,5696,183,1606,1
24,0.546,1.05,0.7,16,7288,42,417,1645,1
27,0.482,1.1,0.73,19,11738,105,865,2797,1
23,0.55,1.03,0.7,15,10712,32,789,2139,1
27,0.413,1.06,0.71,52,16619,8144,1155,6023,1
22,0.623,1.18,0.73,50,19443,782,1240,5120,1
24,0.488,1.02,0.68,8,8072,165,456,1673,1
22,0.476,0.99,0.69,22,11595,151,728,2612,1
23,0.486,1,0.66,17,13254,248,810,2726,3
23,0.47,1.16,0.77,9,7544,1047,404,1800,1
20,0.574,0.95,0.66,9,6513,182,534,1439,1
21,0.287,1.01,0.65,11,2235,4685,217,1434,1
27,0.305,1.03,0.65,9,3869,2792,1034,1439,1
23,0.321,1.2,0.74,36,6232,12438,462,3472,1
26,0.533,1.2,0.81,61,30174,355,857,6127,1
21,0.404,1.18,0.78,31,8583,9211,507,3998,1
25,0.524,1.2,0.78,26,10598,371,1087,2569,1
24,0.249,1.23,0.72,18,2339,17549,825,3919,2
27,0.462,1.02,0.68,27,15494,651,2069,4098,2
22,0.591,1.07,0.75,38,15801,1315,1214,3326,1
22,0.443,1.19,0.76,22,15471,453,744,3219,3
24,0.526,0.99,0.66,21,14484,822,1060,3747,1
30,0.46,1.13,0.73,34,14628,599,1526,3366,1
24,0.365,1.2,0.73,22,4279,7548,239,2509,1
18,0.507,0.92,0.64,5,5261,75,466,1192,1
18,0.513,1.04,0.69,6,5944,110,202,1283,1
21,0.412,1.37,0.84,71,8261,8552,1290,4262,1
