name,age,headshot_percentage,kills_per_death,kills_per_round,5_kill_rounds,rifle_kills,sniper_kills,smg_kills,pistol_kills
MonttY,23,46.60%,1.04,0.71,4,7317,7,544,1591
FANAT ROCKA,30,27.10%,1.06,0.68,10,1655,4582,182,1730
DeStiNy,25,50.80%,1.02,0.72,11,15540,105,735,3304
FaNg,20,56.00%,1.04,0.71,14,9181,238,648,1806
Maluk3,32,29.10%,1.06,0.69,14,4040,10792,735,3036
disco doplan,26,43.90%,1.05,0.69,26,14277,2647,867,4100
Nico,30,26.00%,1.09,0.67,4,1314,3589,119,1561
mouz,26,50.20%,1.06,0.69,39,22881,1106,1287,5523
bondik,29,47.70%,1.06,0.69,26,20357,152,1203,4242
qqGOD,24,40.90%,1.03,0.7,10,7580,503,651,1839
v1c7oR,28,46.30%,1.04,0.7,46,26515,112,1113,5717
HexT,20,49.90%,1.03,0.71,12,7217,81,588,1439
MoeycQ,29,36.90%,1.04,0.7,15,6034,2516,842,2028
Voltage,22,28.60%,1.09,0.66,9,1985,3683,379,1257
Spongey,22,50.90%,1.08,0.66,9,10142,400,700,2552
Krad,23,48.60%,1.03,0.69,29,14463,1333,2124,3516
spaze,25,52.00%,1.01,0.73,17,7841,75,339,1914
Ace,27,31.40%,1.08,0.67,4,1508,4241,498,1601
Markoś,23,29.60%,1.07,0.67,11,3439,6309,488,1964
dimasick,26,49.10%,1.04,0.7,11,8188,102,616,1733
Goofy,21,41.10%,1.02,0.7,26,15308,333,1303,3953
queztone,26,44.70%,1.02,0.71,15,8880,939,559,2542
ROBO,29,45.60%,1.05,0.69,17,6643,2847,622,2122
steel,32,45.70%,1.02,0.71,22,6911,1359,876,2025
yel,30,29.90%,1.07,0.68,18,4976,7335,989,2769
Xyp9x,26,41.60%,1.07,0.66,37,26230,314,1586,5077
TENZKI,28,52.90%,1.05,0.69,28,20105,309,1579,4619
fr0slev,25,48.00%,1.04,0.7,9,8311,249,591,1875
LETN1,29,49.60%,1.06,0.67,16,13391,1539,852,3304
apEX,29,51.70%,1.02,0.71,44,28265,537,1750,6200
fox,35,32.10%,1.03,0.7,18,7300,7778,682,3509
NENO,28,42.50%,1.05,0.69,15,7874,757,1039,1991
n0thing,31,52.60%,1.03,0.7,14,10979,286,662,2520
Plopski,20,41.60%,1.05,0.69,13,13951,229,1264,3051
mar,25,48.60%,1.03,0.7,16,10318,104,672,2119
SKYTTEN,29,45.20%,1.05,0.7,8,5397,176,202,1175
roseau,29,40.40%,1.02,0.72,7,5311,437,436,1173
szejn,20,51.70%,1.03,0.69,11,7553,268,314,1832
roca,26,51.40%,1.02,0.71,12,9185,343,374,2239
xCeeD,22,44.00%,1.02,0.7,10,6019,144,435,1423
iDk,24,47.20%,1.03,0.69,18,11294,734,1013,2554
flickz,31,48.30%,1.05,0.69,8,5813,43,508,1455
Tuurtle,23,55.00%,1.03,0.7,15,10712,32,789,2139
Nodios,23,53.80%,1.04,0.68,20,10012,286,402,2269
chrisJ,32,41.50%,1.04,0.68,43,11822,11455,1588,5737
aproto,23,57.80%,1.01,0.71,8,4758,157,467,1593
delboNi,24,44.60%,1.04,0.69,12,7005,305,455,1832
Jyo,27,40.70%,1.05,0.68,22,14087,2437,1229,3341
bedonka,22,53.70%,1.02,0.7,10,4345,66,1258,1091
es3tag,26,35.40%,1.04,0.68,24,15404,2683,1267,3941
Zyphon,18,51.30%,1.04,0.69,6,5944,110,202,1283
shokz,24,53.70%,1.04,0.68,18,8639,259,607,2222
GruBy,27,42.40%,1.02,0.69,38,23846,501,1043,5352
desi,29,51.50%,1.01,0.71,8,5631,320,253,1542
PlesseN,24,54.50%,1.01,0.71,30,16674,1495,1786,4512
SHOCK,21,55.40%,1.04,0.67,19,9683,701,500,2387
HUGHMUNGUS,22,50.60%,1.04,0.68,19,9609,545,793,2422
b0RUP,22,63.80%,1.02,0.69,36,19009,341,1538,4280
hampus,23,40.40%,1.01,0.7,39,17463,1682,1374,4633
tatazin,28,46.20%,1.08,0.65,10,10120,87,705,2117
Maikelele,31,37.00%,1.05,0.67,14,7782,6195,736,3623
Lekr0,29,51.50%,1.03,0.69,22,16608,1422,904,4797
mitch,25,44.40%,1.05,0.68,4,9347,1218,841,2541
clax,20,54.80%,1.04,0.68,9,5231,123,383,1208
EasTor,28,28.30%,1.04,0.68,14,1874,5193,474,1390
jedqr,23,53.40%,1.04,0.69,15,11629,173,772,2397
JDC,22,51.20%,1.02,0.69,11,7061,335,207,1740
1962,26,53.70%,1,0.71,13,8025,125,541,1883
Kylar,22,59.00%,1.03,0.68,17,8040,270,487,1954
Noobster,25,34.50%,1.02,0.68,15,2520,4060,390,1650
Viva,22,46.00%,1.05,0.67,19,5060,2964,561,1922
